state,Gender,Year,Count
AR,F,1978,12582
AR,F,1979,12968
AR,F,1980,13508
AR,F,1981,12709
AR,F,1982,12767
AR,F,1983,12948
AR,F,1984,12774
AR,F,1985,12703
AR,F,1986,12415
AR,F,1987,12265
AR,F,1988,12358
AR,F,1989,12495
AR,F,1990,12626
AR,F,1991,12041
AR,F,1992,11855
AR,F,1993,11591
AR,F,1994,11405
AR,F,1995,11600
AR,F,1996,11696
AR,F,1997,11477
AR,F,1998,11899
AR,F,1999,11782
AR,F,2000,12159
AR,F,2001,11663
AR,F,2002,11820
AR,F,2003,11911
AR,F,2004,12038
AR,F,2005,12295
AR,F,2006,12466
AR,F,2007,12471
AR,F,2008,12207
AR,F,2009,11783
AR,F,2010,11320
AR,F,2011,11485
AR,F,2012,11362
AR,F,2013,11266
AR,F,2014,11578
AR,F,2015,11767
AR,F,2016,11215
AR,F,2017,11169
AR,F,2018,10937
AR,F,2019,10661
AR,M,1961,19537
AR,M,1962,19584
AR,M,1963,19451
AR,M,1964,19059
AR,M,1965,16971
AR,M,1966,15760
AR,M,1967,15056
AR,M,1968,14926
AR,M,1969,15265
AR,M,1970,16051
AR,M,1971,15947
AR,M,1972,14968
AR,M,1973,15020
AR,M,1974,15549
AR,M,1975,14896
AR,M,1976,14841
AR,M,1977,15432
AR,M,1978,14746
AR,M,1979,15945
AR,M,1980,16228
AR,M,1981,15289
AR,M,1982,15364
AR,M,1983,15165
AR,M,1984,15179
AR,M,1985,15264
AR,M,1986,14760
AR,M,1987,14951
AR,M,1988,14690
AR,M,1989,15335
AR,M,1990,15477
AR,M,1991,14958
AR,M,1992,14325
AR,M,1993,14274
AR,M,1994,13867
AR,M,1995,13873
AR,M,1996,14513
AR,M,1997,14659
AR,M,1998,14444
AR,M,1999,14358
AR,M,2000,14889
AR,M,2001,14649
AR,M,2002,14642
AR,M,2003,14817
AR,M,2004,15040
AR,M,2005,15056
AR,M,2006,15607
AR,M,2007,15830
AR,M,2008,15200
AR,M,2009,14998
AR,M,2010,14400
AR,M,2011,14474
AR,M,2012,14246
AR,M,2013,14207
AR,M,2014,14549
AR,M,2015,14586
AR,M,2016,14309
AR,M,2017,13615
AR,M,2018,13415
AR,M,2019,13085
AZ,F,1961,15337
AZ,F,1962,15454
AZ,F,1963,15052
AZ,F,1964,14621
AZ,F,1965,13396
AZ,F,1966,12795
AZ,F,1967,12725
AZ,F,1968,12934
AZ,F,1969,13427
